SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-16-2018,Condo/Co-op,12 Centre Ave #2,Boston,MA,02124,529000,2,2.0,Dorchester,953,,1920,20,555,172,Sold,,,http://www.redfin.com/MA/Boston/12-Centre-Ave-02124/unit-2/home/143313775,MLS PIN,72329630,N,Y,42.2925694,-71.0632029
PAST SALE,July-24-2018,Single Family Residential,17 LINDSEY St,Boston,MA,02124,660000,5,2.5,DORCHESTER / Nearby Melville and Fields Corner,2303,4042,1885,12,287,,Sold,,,http://www.redfin.com/MA/Boston/17-Lindsey-St-02124/home/12107288,MLS PIN,72346387,N,Y,42.2980566,-71.0676746
PAST SALE,July-27-2018,Condo/Co-op,1910 Dorchester Ave #509,Boston,MA,02124,460000,2,1.0,Dorchester's Ashmont,1090,1090,2008,9,422,536,Sold,,,http://www.redfin.com/MA/Boston/1910-Dorchester-Ave-02124/unit-509/home/56818224,MLS PIN,72344614,N,Y,42.2842352,-71.0645007
PAST SALE,July-27-2018,Single Family Residential,14 Patterson St,Boston,MA,02124,639000,5,2.5,Boston,2616,4340,1900,9,244,,Sold,,,http://www.redfin.com/MA/Boston/14-Patterson-St-02124/home/11835146,MLS PIN,72340060,N,Y,42.2794093,-71.0651212
PAST SALE,May-18-2018,Single Family Residential,71 Dale St,Boston,MA,02131,610000,3,2.0,Roslindale,2157,8128,1961,79,283,,Sold,,,http://www.redfin.com/MA/Boston/71-Dale-St-02131/home/9180761,MLS PIN,72296768,N,Y,42.2727939,-71.1253325
PAST SALE,May-22-2018,Single Family Residential,20 Andover Rd,Boston,MA,02132,765000,3,1.5,West Roxbury,1850,7666,1920,75,414,,Sold,,,http://www.redfin.com/MA/West-Roxbury/20-Andover-Rd-02132/home/11836106,MLS PIN,72296926,N,Y,42.2948556,-71.1365659
PAST SALE,,Multi-Family (2-4 Unit),219 Roslindale Ave,Roslindale,MA,02131,625000,4,2.0,,2632,7755,1900,,237,,,,,http://www.redfin.com/MA/Roslindale/219-Roslindale-Ave-02131/home/9175189,,,N,Y,42.2808235,-71.1386548
PAST SALE,June-1-2018,Single Family Residential,62 Durnell Ave,Boston,MA,02131,855000,4,2.5,Roslindale,2200,3505,2018,65,389,,Sold,,,http://www.redfin.com/MA/Roslindale/62-Durnell-Ave-02131/home/9171661,MLS PIN,72310401,N,Y,42.2858133,-71.1371694
PAST SALE,June-15-2018,Condo/Co-op,85 Albano St #1,Boston,MA,02131,365000,2,1.0,Boston,644,644,1885,51,567,125,Sold,,,http://www.redfin.com/MA/Roslindale/85-Albano-St-02131/unit-1/home/12065280,MLS PIN,72311252,N,Y,42.2842565,-71.1323882
PAST SALE,July-16-2018,Single Family Residential,65 Beryl St,Boston,MA,02131,609000,3,1.5,Roslindale,1484,6600,1964,20,410,,Sold,,,http://www.redfin.com/MA/Roslindale/65-Beryl-St-02131/home/9173852,MLS PIN,72337777,N,Y,42.2843467,-71.1392582
