SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,12 Stoneholm #323,Boston,MA,02115,565000,1,1.0,The Fenway,612,612,2016,116,923,453,Active,,,http://www.redfin.com/MA/Boston/12-Stoneholm-St-02115/unit-323/home/12458998,MLS PIN,72307510,N,Y,42.3458257,-71.0886264
MLS Listing,,Single Family Residential,49 Monument Ave,Boston,MA,02129,2275000,5,3.5,Gas Light District,3827,1485,1860,116,594,,Active,,,http://www.redfin.com/MA/Charlestown/49-Monument-Ave-02129/home/9049406,MLS PIN,72307182,N,Y,42.3752129,-71.0612506
MLS Listing,,Multi-Family (2-4 Unit),132-134 Holton St,Boston,MA,02135,1099900,9,7.5,Brighton,4301,3960,1900,117,256,,Active,,,http://www.redfin.com/MA/Boston/132-Holton-St-02135/home/146410962,MLS PIN,72306602,N,Y,42.3607395,-71.1397548
MLS Listing,,Multi-Family (2-4 Unit),51 Appleton,Boston,MA,02116,3050000,5,3.5,South End,2900,,1899,117,1052,,Active,,,http://www.redfin.com/MA/Boston/51-Appleton-St-02116/home/9262791,MLS PIN,72306505,N,Y,42.345994,-71.0722569
MLS Listing,,Townhouse,51 Appleton Unit 1 & 2,Boston,MA,02116,3050000,5,3.5,South End,2900,,1899,117,1052,,Active,,,http://www.redfin.com/MA/Boston/51-Appleton-St-02116/unit-1-2/home/145300582,MLS PIN,72306502,N,Y,42.345994,-71.0722569
MLS Listing,,Condo/Co-op,14 W Broadway #605,Boston,MA,02127,859000,1,1.0,South Boston,831,,2018,117,1034,547,Active,,,http://www.redfin.com/MA/Boston/14-W-Broadway-02127/unit-605/home/145299881,MLS PIN,72306354,N,Y,42.3428463,-71.0569762
MLS Listing,,Condo/Co-op,8 Asticou Rd #2,Boston,MA,02130,664900,4,1.5,Jamaica Plain,1966,2939,1910,117,338,215,Active,,,http://www.redfin.com/MA/Boston/8-Asticou-Rd-02130/unit-2/home/145299225,MLS PIN,72306248,N,Y,42.3003329,-71.1148912
MLS Listing,,Condo/Co-op,45 Temple St #311,Boston,MA,02108,4542313,3,2.5,Beacon Hill,2450,,2019,117,1854,3020,Active,,,http://www.redfin.com/MA/Boston/45-Temple-Pl-02111/unit-311/home/145298966,MLS PIN,72306212,N,Y,42.3548993,-71.0619177
MLS Listing,,Condo/Co-op,45 Temple St #408,Boston,MA,02108,2778480,2,2.5,Beacon Hill,1687,,2019,117,1647,1971,Active,,,http://www.redfin.com/MA/Boston/45-Temple-Pl-02111/unit-408/home/145298965,MLS PIN,72306210,N,Y,42.3548993,-71.0619177
MLS Listing,,Condo/Co-op,45 Temple St #104,Boston,MA,02108,1366000,1,1.0,Beacon Hill,894,,2019,117,1528,872,Active,,,http://www.redfin.com/MA/Boston/45-Temple-Pl-02111/unit-104/home/145298964,MLS PIN,72306208,N,Y,42.3548993,-71.0619177
MLS Listing,,Condo/Co-op,45 Temple St #603,Boston,MA,02108,3757511,2,2.5,Beacon Hill,2033,,2019,117,1848,2526,Active,,,http://www.redfin.com/MA/Boston/45-Temple-Pl-02111/unit-603/home/145298953,MLS PIN,72306206,N,Y,42.3548993,-71.0619177
MLS Listing,,Townhouse,329 Commonwealth Ave #1,Boston,MA,02115,2000000,3,2.0,Back Bay,1633,,1870,117,1225,627,Active,,,http://www.redfin.com/MA/Boston/329-Commonwealth-Ave-02115/unit-1/home/9243382,MLS PIN,72306009,N,Y,42.3498886,-71.0873189
MLS Listing,,Multi-Family (2-4 Unit),132 Trenton St,Boston,MA,02128,999000,8,4.0,Boston,2116,2888,1900,118,472,,Active,,,http://www.redfin.com/MA/Boston/132-Trenton-St-02128/home/9120163,MLS PIN,72305785,N,Y,42.3797696,-71.0345595
MLS Listing,,Multi-Family (2-4 Unit),130 Trenton St,Boston,MA,02128,859000,6,4.0,Boston,2280,3340,1900,118,377,,Active,,,http://www.redfin.com/MA/Boston/130-Trenton-St-02128/home/9120168,MLS PIN,72305780,N,Y,42.379761,-71.03471
